"Date","Price","Open","High","Low","Change %"
"Jul 16, 1999","5.4740","5.4740","5.4740","5.4740","-0.94%"
"Jul 15, 1999","5.5260","5.5260","5.5260","5.5260","-0.32%"
"Jul 14, 1999","5.5440","5.5440","5.5440","5.5440","0.62%"
"Jul 13, 1999","5.5100","5.5100","5.5100","5.5100","-0.02%"
"Jul 12, 1999","5.5110","5.5110","5.5110","5.5110","-1.22%"
"Jul 09, 1999","5.5790","5.5790","5.5790","5.5790","0.29%"
"Jul 08, 1999","5.5630","5.5630","5.5630","5.5630","-0.91%"
"Jul 07, 1999","5.6140","5.6140","5.6140","5.6140","0.00%"
"Jul 06, 1999","5.6140","5.6140","5.6140","5.6140","0.59%"
"Jul 02, 1999","5.5810","5.5810","5.5810","5.5810","-0.02%"
"Jul 01, 1999","5.5820","5.5820","5.5820","5.5820","1.20%"
"Jun 30, 1999","5.5160","5.5160","5.5160","5.5160","-3.23%"
"Jun 29, 1999","5.7000","5.7000","5.7000","5.7000","0.60%"
"Jun 28, 1999","5.6660","5.6660","5.6660","5.6660","-1.46%"
"Jun 25, 1999","5.7500","5.7500","5.7500","5.7500","0.30%"
"Jun 24, 1999","5.7330","5.7330","5.7330","5.7330","0.31%"
"Jun 23, 1999","5.7150","5.7150","5.7150","5.7150","1.55%"
"Jun 22, 1999","5.6280","5.6280","5.6280","5.6280","0.63%"
"Jun 21, 1999","5.5930","5.5930","5.5930","5.5930","0.63%"
"Jun 18, 1999","5.5580","5.5580","5.5580","5.5580","1.28%"
"Jun 17, 1999","5.4880","5.4880","5.4880","5.4880","-1.84%"
"Jun 16, 1999","5.5910","5.5910","5.5910","5.5910","-1.20%"
"Jun 15, 1999","5.6590","5.6590","5.6590","5.6590","0.32%"
"Jun 14, 1999","5.6410","5.6410","5.6410","5.6410","-0.90%"
"Jun 11, 1999","5.6920","5.6920","5.6920","5.6920","0.92%"
"Jun 10, 1999","5.6400","5.6400","5.6400","5.6400","0.32%"
"Jun 09, 1999","5.6220","5.6220","5.6220","5.6220","0.92%"
"Jun 08, 1999","5.5710","5.5710","5.5710","5.5710","0.61%"
"Jun 07, 1999","5.5370","5.5370","5.5370","5.5370","-0.29%"
"Jun 04, 1999","5.5530","5.5530","5.5530","5.5530","0.31%"
"Jun 03, 1999","5.5360","5.5360","5.5360","5.5360","0.33%"
"Jun 02, 1999","5.5180","5.5180","5.5180","5.5180","-0.31%"
"Jun 01, 1999","5.5350","5.5350","5.5350","5.5350","2.48%"
"May 28, 1999","5.4010","5.4010","5.4010","5.4010","-0.30%"
"May 27, 1999","5.4170","5.4170","5.4170","5.4170","1.04%"
"May 26, 1999","5.3610","5.3610","5.3610","5.3610","2.00%"
"May 25, 1999","5.2560","5.2560","5.2560","5.2560","0.32%"
"May 24, 1999","5.2390","5.2390","5.2390","5.2390","-0.32%"
"May 21, 1999","5.2560","5.2560","5.2560","5.2560","-1.59%"
"May 20, 1999","5.3410","5.3410","5.3410","5.3410","0.00%"
"May 19, 1999","5.3410","5.3410","5.3410","5.3410","0.02%"
"May 18, 1999","5.3400","5.3400","5.3400","5.3400","0.96%"
"May 17, 1999","5.2890","5.2890","5.2890","5.2890","0.02%"
"May 14, 1999","5.2880","5.2880","5.2880","5.2880","3.34%"
"May 13, 1999","5.1170","5.1170","5.1170","5.1170","-1.31%"
"May 12, 1999","5.1850","5.1850","5.1850","5.1850","0.33%"
"May 11, 1999","5.1680","5.1680","5.1680","5.1680","0.33%"
"May 10, 1999","5.1510","5.1510","5.1510","5.1510","-0.66%"
"May 07, 1999","5.1850","5.1850","5.1850","5.1850","0.35%"
"May 06, 1999","5.1670","5.1670","5.1670","5.1670","1.31%"
"May 05, 1999","5.1000","5.1000","5.1000","5.1000","0.00%"
"May 04, 1999","5.1000","5.1000","5.1000","5.1000","0.67%"
"May 03, 1999","5.0660","5.0660","5.0660","5.0660","0.00%"
"Apr 30, 1999","5.0660","5.0660","5.0660","5.0660","1.99%"
"Apr 29, 1999","4.9670","4.9670","4.9670","4.9670","-1.57%"
"Apr 28, 1999","5.0460","5.0460","5.0460","5.0460","1.04%"
"Apr 27, 1999","4.9940","4.9940","4.9940","4.9940","-0.34%"
"Apr 26, 1999","5.0110","5.0110","5.0110","5.0110","-0.34%"
"Apr 23, 1999","5.0280","5.0280","5.0280","5.0280","0.02%"
"Apr 22, 1999","5.0270","5.0270","5.0270","5.0270","1.02%"
"Apr 21, 1999","4.9760","4.9760","4.9760","4.9760","0.69%"
"Apr 20, 1999","4.9420","4.9420","4.9420","4.9420","0.00%"
"Apr 19, 1999","4.9420","4.9420","4.9420","4.9420","-1.36%"
"Apr 16, 1999","5.0100","5.0100","5.0100","5.0100","1.03%"
"Apr 15, 1999","4.9590","4.9590","4.9590","4.9590","0.02%"
"Apr 14, 1999","4.9580","4.9580","4.9580","4.9580","0.67%"
"Apr 13, 1999","4.9250","4.9250","4.9250","4.9250","0.35%"
"Apr 12, 1999","4.9080","4.9080","4.9080","4.9080","0.70%"
"Apr 09, 1999","4.8740","4.8740","4.8740","4.8740","0.35%"
"Apr 08, 1999","4.8570","4.8570","4.8570","4.8570","-1.04%"
"Apr 07, 1999","4.9080","4.9080","4.9080","4.9080","0.00%"
"Apr 06, 1999","4.9080","4.9080","4.9080","4.9080","-0.67%"
"Apr 05, 1999","4.9410","4.9410","4.9410","4.9410","-1.34%"
"Apr 01, 1999","5.0080","5.0080","5.0080","5.0080","0.34%"
"Mar 31, 1999","4.9910","4.9910","4.9910","4.9910","0.32%"
"Mar 30, 1999","4.9750","4.9750","4.9750","4.9750","-0.66%"
"Mar 29, 1999","5.0080","5.0080","5.0080","5.0080","0.34%"
"Mar 26, 1999","4.9910","4.9910","4.9910","4.9910","-0.68%"
"Mar 25, 1999","5.0250","5.0250","5.0250","5.0250","0.54%"
"Mar 24, 1999","4.9980","4.9980","4.9980","4.9980","0.00%"
"Mar 23, 1999","4.9980","4.9980","4.9980","4.9980","-1.36%"
"Mar 22, 1999","5.0670","5.0670","5.0670","5.0670","0.34%"
"Mar 19, 1999","5.0500","5.0500","5.0500","5.0500","1.36%"
"Mar 18, 1999","4.9820","4.9820","4.9820","4.9820","0.00%"
"Mar 17, 1999","4.9820","4.9820","4.9820","4.9820","0.34%"
"Mar 16, 1999","4.9650","4.9650","4.9650","4.9650","-0.34%"
"Mar 15, 1999","4.9820","4.9820","4.9820","4.9820","0.00%"
"Mar 12, 1999","4.9820","4.9820","4.9820","4.9820","-1.01%"
"Mar 11, 1999","5.0330","5.0330","5.0330","5.0330","0.00%"
"Mar 10, 1999","5.0330","5.0330","5.0330","5.0330","0.34%"
"Mar 09, 1999","5.0160","5.0160","5.0160","5.0160","-1.65%"
"Mar 08, 1999","5.1000","5.1000","5.1000","5.1000","-0.66%"
"Mar 05, 1999","5.1340","5.1340","5.1340","5.1340","-1.29%"
"Mar 04, 1999","5.2010","5.2010","5.2010","5.2010","0.33%"
"Mar 03, 1999","5.1840","5.1840","5.1840","5.1840","0.97%"
"Mar 02, 1999","5.1340","5.1340","5.1340","5.1340","-1.27%"
"Mar 01, 1999","5.2000","5.2000","5.2000","5.2000","0.97%"
"Feb 26, 1999","5.1500","5.1500","5.1500","5.1500","-1.28%"
"Feb 25, 1999","5.2170","5.2170","5.2170","5.2170","2.64%"
"Feb 24, 1999","5.0830","5.0830","5.0830","5.0830","1.74%"
"Feb 23, 1999","4.9960","4.9960","4.9960","4.9960","1.77%"
"Feb 22, 1999","4.9090","4.9090","4.9090","4.9090","-1.03%"
"Feb 19, 1999","4.9600","4.9600","4.9600","4.9600","0.73%"
"Feb 18, 1999","4.9240","4.9240","4.9240","4.9240","1.05%"
"Feb 17, 1999","4.8730","4.8730","4.8730","4.8730","-0.67%"
"Feb 16, 1999","4.9060","4.9060","4.9060","4.9060","0.00%"
"Feb 12, 1999","4.9060","4.9060","4.9060","4.9060","1.81%"
"Feb 11, 1999","4.8190","4.8190","4.8190","4.8190","0.71%"
"Feb 10, 1999","4.7850","4.7850","4.7850","4.7850","0.72%"
"Feb 09, 1999","4.7510","4.7510","4.7510","4.7510","-0.71%"
"Feb 08, 1999","4.7850","4.7850","4.7850","4.7850","-0.33%"
"Feb 05, 1999","4.8010","4.8010","4.8010","4.8010","0.71%"
"Feb 04, 1999","4.7670","4.7670","4.7670","4.7670","1.08%"
"Feb 03, 1999","4.7160","4.7160","4.7160","4.7160","0.36%"
"Feb 02, 1999","4.6990","4.6990","4.6990","4.6990","1.08%"
"Feb 01, 1999","4.6490","4.6490","4.6490","4.6490","1.44%"
"Jan 29, 1999","4.5830","4.5830","4.5830","4.5830","0.37%"
"Jan 28, 1999","4.5660","4.5660","4.5660","4.5660","2.22%"
"Jan 27, 1999","4.4670","4.4670","4.4670","4.4670","-3.37%"
"Jan 26, 1999","4.6230","4.6230","4.6230","4.6230","0.37%"
"Jan 25, 1999","4.6060","4.6060","4.6060","4.6060","1.12%"
"Jan 22, 1999","4.5550","4.5550","4.5550","4.5550","-1.11%"
"Jan 21, 1999","4.6060","4.6060","4.6060","4.6060","-0.75%"
"Jan 20, 1999","4.6410","4.6410","4.6410","4.6410","0.37%"
"Jan 19, 1999","4.6240","4.6240","4.6240","4.6240","1.12%"
"Jan 15, 1999","4.5730","4.5730","4.5730","4.5730","2.63%"
"Jan 14, 1999","4.4560","4.4560","4.4560","4.4560","-3.28%"
"Jan 13, 1999","4.6070","4.6070","4.6070","4.6070","-1.09%"
"Jan 12, 1999","4.6580","4.6580","4.6580","4.6580","-1.77%"
"Jan 11, 1999","4.7420","4.7420","4.7420","4.7420","0.36%"
"Jan 08, 1999","4.7250","4.7250","4.7250","4.7250","1.81%"
"Jan 07, 1999","4.6410","4.6410","4.6410","4.6410","1.09%"
"Jan 06, 1999","4.5910","4.5910","4.5910","4.5910","-1.08%"
"Jan 05, 1999","4.6410","4.6410","4.6410","4.6410","1.44%"
"Jan 04, 1999","4.5750","4.5750","4.5750","4.5750","0.73%"
"Dec 31, 1998","4.5420","4.5420","4.5420","4.5420","0.00%"
"Dec 30, 1998","4.5420","4.5420","4.5420","4.5420","-2.15%"
"Dec 29, 1998","4.6420","4.6420","4.6420","4.6420","-1.07%"
"Dec 28, 1998","4.6920","4.6920","4.6920","4.6920","-1.45%"
"Dec 24, 1998","4.7610","4.7610","4.7610","4.7610","1.47%"
"Dec 23, 1998","4.6920","4.6920","4.6920","4.6920","2.24%"
"Dec 22, 1998","4.5890","4.5890","4.5890","4.5890","1.50%"
"Dec 21, 1998","4.5210","4.5210","4.5210","4.5210","1.50%"
"Dec 18, 1998","4.4540","4.4540","4.4540","4.4540","0.75%"
"Dec 17, 1998","4.4210","4.4210","4.4210","4.4210","1.54%"
"Dec 16, 1998","4.3540","4.3540","4.3540","4.3540","-2.27%"
"Dec 15, 1998","4.4550","4.4550","4.4550","4.4550","0.75%"
"Dec 14, 1998","4.4220","4.4220","4.4220","4.4220","-0.76%"
"Dec 11, 1998","4.4560","4.4560","4.4560","4.4560","1.50%"
"Dec 10, 1998","4.3900","4.3900","4.3900","4.3900","-1.13%"
"Dec 09, 1998","4.4400","4.4400","4.4400","4.4400","0.36%"
"Dec 08, 1998","4.4240","4.4240","4.4240","4.4240","-2.21%"
"Dec 07, 1998","4.5240","4.5240","4.5240","4.5240","1.48%"
"Dec 04, 1998","4.4580","4.4580","4.4580","4.4580","3.43%"
"Dec 03, 1998","4.3100","4.3100","4.3100","4.3100","-1.15%"
"Dec 02, 1998","4.3600","4.3600","4.3600","4.3600","-2.22%"
"Dec 01, 1998","4.4590","4.4590","4.4590","4.4590","-1.11%"
"Nov 30, 1998","4.5090","4.5090","4.5090","4.5090","-2.51%"
"Nov 27, 1998","4.6250","4.6250","4.6250","4.6250","-0.71%"
"Nov 25, 1998","4.6580","4.6580","4.6580","4.6580","-0.53%"
"Nov 24, 1998","4.6830","4.6830","4.6830","4.6830","0.39%"
"Nov 23, 1998","4.6650","4.6650","4.6650","4.6650","0.02%"
"Nov 20, 1998","4.6640","4.6640","4.6640","4.6640","0.04%"
"Nov 19, 1998","4.6620","4.6620","4.6620","4.6620","1.15%"
"Nov 18, 1998","4.6090","4.6090","4.6090","4.6090","0.74%"
"Nov 17, 1998","4.5750","4.5750","4.5750","4.5750","0.02%"
